sample,sample_type,PRC1,CCNB1,TPX2,UBE2T,CEP55,STMN1,GTSE1,FANCD2,NUF2,BUB1B,MSH2,ILF3,SPATS2,KIF18A,YEATS2,PRR11,RCC2,ANAPC7,TARDBP,SMG5,DEDD,UBE2Q1,HM13,NR2C2AP,BRMS1,ATP5G2,CDK5RAP1
TCGA-G3-A3CH-11,0,1.007204053563292,1.310357056256527,0.7570405765592495,0.9335616876382705,0.16350100616721566,3.712553204893066,0.12432727046024596,0.6322596043371412,0.16350100616721566,0.16350100616721566,0.941119233104861,3.589764459047848,1.2868986669300422,0.04264397547066702,0.9854880234058967,0.3219362737064646,2.2479470478976107,2.6392432717721768,4.496983318730551,3.444917164557646,2.8953158739445186,3.587380368152506,5.922657606234328,2.386812009728059,3.7136617956711904,7.926137836234428,2.9164635002575228
TCGA-DD-AAW0-01,1,2.744148330895824,2.819706092689945,2.053103930206787,2.2509486894542814,0.575314001522003,4.4730985862685,0.8237481557834879,1.4059673641333936,1.310357056256527,0.782420652403773,2.2172372575818273,4.434921846607517,2.655381665213991,0.3673730827466701,1.9259684724803396,1.1309453287348874,3.1699424919882646,3.990919953196219,5.394672887365484,5.123546633018956,4.887048250469865,5.50782803970877,6.7318241075718435,3.82068502121291,4.588005786790282,7.994263424231872,3.72900448367464
TCGA-DD-AACA-01,1,4.502049245238252,4.378510303118969,3.53977425137595,3.2433355424834183,1.1110485274177508,6.167097387163254,1.6735636465178412,2.238794435245979,1.8480211831529465,1.981849724128207,2.3589660247330566,5.398870924065882,3.1243390143685352,0.9560728396167849,1.8757946364409923,2.392315593653014,2.8499772343183447,3.560721376524997,5.822691909637685,4.569895790001474,4.024121102628116,6.26249652002776,6.5930073470825725,4.039143763256499,4.532940359986735,8.659069747420082,3.7813240199524008
TCGA-DD-A3A6-11,0,0.38957002018585846,0.7398542616398206,0.6135372870422602,0.47507348706068736,0.028568469949101772,2.7697998904157757,0.12432727046024596,0.04264397547066702,0.028568469949101772,0,0.5058932605314576,2.970847345594864,0.47507348706068736,0.014354777466892966,0.2868778373830473,0.07038733370622455,1.4854279970202247,2.372913320163698,4.531026723943756,2.241869873765465,2.344810252548844,2.9818479073430963,6.339113079023643,2.4060149754441222,3.948602022899128,8.28183827218505,3.1126573906599138
TCGA-K7-AAU7-01,1,4.092555328703256,4.781865746373682,3.4880331572691965,3.1921888042768676,2.014320806088411,6.438612353370744,1.3950896013722618,2.558243166911549,2.0565979388695785,2.2047679880398485,2.763400916284012,6.226674793148801,4.209486045876359,1.2203239161193031,2.7866310338960965,1.8480211831529465,5.075489027796166,4.813487586880129,6.613692608957759,5.244916537912648,3.7803039701908414,4.81454852129353,7.2601328142842165,4.292773892788026,5.253582775553444,8.991534294874606,4.230401280446806
TCGA-RC-A7SH-01,1,5.664793197930657,4.524808199209406,3.4515490249553817,4.090860794384281,2.3132439654730796,5.2475454728048865,2.7824414827775623,3.350505665707649,3.05311654399561,2.289801857012573,2.2750213609024805,6.329631929628114,3.0267605724637865,0.8560014279422236,2.6826079116712647,2.03915474759908,4.647866881389682,4.837413776676366,5.58611839539205,6.538092753858239,4.804229744974234,5.70126983291289,8.032216098857491,5.37193057476196,6.096813160331673,9.059603550405294,5.171554289031252
TCGA-CC-A3MA-01,1,4.928327074021657,5.953054036576181,4.70042635566463,5.687343800023052,3.531092750729681,8.045963685855508,3.2509412100441106,2.8073524103313314,4.286890549965276,2.2047679880398485,3.9551501349981018,5.978244802555165,3.411441834565848,1.5160294263793832,3.490584078317571,3.5668553543025645,5.353294336399692,4.276455548346039,6.370722504876986,5.2975195590451465,5.488661239598927,6.214736874512122,7.080885342686277,5.410783242828064,5.374663090878709,8.735385606040712,4.18272847322088
TCGA-DD-A3A5-11,0,0.8480084108649092,0.8237481557834879,1.2265032361654702,0.3219362737064646,0.08406696650259302,2.5084323617750877,0.07038733370622455,0.17631828427718285,0.07038733370622455,0.04264397547066702,0.8875109937935336,3.408723769965664,0.6415558552970472,0.014354777466892966,0.41142546871202995,0.04264397547066702,1.8237519620410563,2.344810252548844,4.257777675637018,3.035626309813242,2.6346266199522423,3.5260688743991584,5.782916707012178,1.695964314457595,3.670202816814151,7.858622932752382,3.0908318059265936
TCGA-RC-A7SB-01,1,3.1243390143685352,3.7484329557024085,2.6181976180630024,2.9069238338477583,0.5655943161500262,6.400660485835341,0.8639591438122435,2.0874754199382717,1.4646715151769598,1.2630595330598264,2.1921721814696933,4.718604708427414,2.6158535713831514,0.27500444854110573,1.201622003974685,1.7092713940587816,2.655381665213991,4.369468010524731,5.433247312066642,3.6814491586658105,3.9560857468632014,4.719759195850677,6.893573030301469,3.463366768314859,4.968581087415787,7.851653134479971,3.8757784028767563
TCGA-DD-AAVZ-01,1,3.6610821679739813,4.4355895230961515,2.7739831873295526,3.702671382789769,0.8875109937935336,4.704272866636787,1.974534556942991,1.6229459144937792,2.2839167585857187,1.2868986669300422,2.6275811984374338,5.231092426480899,2.3015905460058645,0.5655943161500262,2.1043342504227764,1.367348167186681,2.8619592288903277,4.380604716220532,5.613247732862932,5.2023849282553885,4.906377530097903,5.687637984599043,7.042573993837895,3.6368766418975995,4.31470539641435,8.777488119811775,4.147316866023738
