sample,Subtype_Immune_Model_Based,PRC1,CCNB2,KIF20A,ECT2,RACGAP1,BUB1,FANCI,SMC4,CEP55,KIAA0101,ZWINT,SAE1,MAD2L1,MSH2,H2AFY,DNAJC9,NCAPD2,PPP1CC,RNF34,PRR11,RCC2,SPC25,CENPL,PSMC3IP,SMARCD1,MYO19,RBMX,CCDC97,ANAPC7,WDHD1,TARDBP,RAD51,DEDD,B4GALT3,YY1AP1,PYGO2,PI4KB,SNRPB,SNRPD1,MRPL9,SCNM1,DTYMK,RFXANK,LSM2,EIF3B,NR2C2AP,SNRPE,SNRPA,ATP5G2,CDK5RAP1,PSMG3,TSEN54
TCGA-G3-A3CH-11,0,1.007204053563292,0.46467850914319014,0.250954424227243,0.33341923628540887,1.0214572118073437,0.16350100616721566,0.7655403752649063,1.8914008359944454,0.16350100616721566,1.1890504124707402,1.1827124374655402,3.5422425228090004,0.7907537371228007,0.941119233104861,4.701580265979572,1.8718665430943708,1.632284371547357,4.250196544722716,2.2868585353436615,0.3219362737064646,2.2479470478976107,0.21412028165042649,0.5360531059605349,0.5459561635262882,2.4004991448711794,1.9485863960138639,3.975462250921059,2.0214774317629014,2.6392432717721768,0.21412028165042649,4.496983318730551,0.47507348706068736,2.8953158739445186,3.0303586204433053,3.4880331572691965,2.269072579240485,3.264553645580981,5.379250101318744,3.8237519561871576,3.8165965462193157,3.5197685422776583,2.739809915089532,4.058312330578242,3.504621991378926,4.775024191892469,2.386812009728059,5.075489027796166,3.690396211078959,7.926137836234428,2.9164635002575228,3.504621991378926,2.528578193147445
TCGA-DD-AAW0-01,2,2.744148330895824,1.6507749261266877,1.5459963165044162,2.042638006587823,2.1375352103154164,1.1953537992788945,1.2750031987187,2.924102169060101,0.575314001522003,2.448927792276986,2.5058771133359024,4.581968020062655,1.4435768521734766,2.2172372575818273,6.117903072120974,2.653026018723903,2.2016357403219415,4.622336302257687,3.212603450690146,1.1309453287348874,3.1699424919882646,0.7990679518214341,1.4646715151769598,1.367348167186681,3.6345775709036112,3.0495985755444743,4.8339397226681085,3.2280490680045624,3.990919953196219,0.5945501751834043,5.394672887365484,0.9560728396167849,4.887048250469865,4.272756849164958,4.838475353633755,3.753802632464218,4.580147321918273,6.323904114605365,4.751714353598512,5.225349667714802,5.155028215949824,3.6159210201844294,4.444938561320586,4.461354110214519,5.3519285656146725,3.82068502121291,6.394533952250515,4.231158714353127,7.994263424231872,3.72900448367464,4.434921846607517,3.5557793279467247
TCGA-DD-AACA-01,2,4.502049245238252,3.2719930564427453,2.5656374779044326,2.3363009676069564,4.239586670922166,1.9708817033607575,2.796985476723334,3.358987724810266,1.1110485274177508,4.355481929418985,3.9288766127025356,5.5561614011063645,3.316181965684182,2.3589660247330566,5.121021205362036,3.422228710011805,3.65187440786996,4.794395701482435,2.558243166911549,2.392315593653014,2.8499772343183447,2.0772363884676164,1.8439773373110435,2.553345580683047,3.9854850644246125,4.39641293868946,5.676361759864524,3.6610821679739813,3.560721376524997,1.1953537992788945,5.822691909637685,2.1921721814696933,4.024121102628116,4.37708238211897,4.669573032896194,3.997293639927766,4.157038139140588,7.32819676612549,5.195769853651737,4.923104562959242,4.30739292310328,4.28024962140977,5.416154325304019,5.739530855399433,6.047851046280636,4.039143763256499,6.369438205742493,5.020598244749164,8.659069747420082,3.7813240199524008,4.2494385528114345,4.297234705325133
TCGA-DD-A3A6-11,0,0.38957002018585846,0,0.20163117540000605,0.17631828427718285,0.21412028165042649,0.056584800958700956,0.3219362737064646,1.0214572118073437,0.028568469949101772,0.8237481557834879,0.41142546871202995,2.961602377924439,0.3103391388168759,0.5058932605314576,3.8590104833213714,1.2388058520636933,0.6040866530104423,3.1858665386324003,1.9222110122142988,0.07038733370622455,1.4854279970202247,0.250954424227243,0.12432727046024596,0.07038733370622455,1.9298032055054526,1.1827124374655402,3.590956638226773,1.4646715151769598,2.372913320163698,0.11103388355031066,4.531026723943756,0.11103388355031066,2.344810252548844,2.367346641287257,2.763400916284012,2.16349732274102,2.8338828112078236,4.963450490725206,3.656477655880161,4.306728250293984,3.4436456522482635,3.255506869818685,4.470520143433268,4.168274351310909,5.110241044143379,2.4060149754441222,5.439988153514351,4.446942306299894,8.28183827218505,3.1126573906599138,4.20163545744005,3.1043461748890078
TCGA-K7-AAU7-01,5,4.092555328703256,2.68032837388335,2.4515428389355183,3.18426425280375,3.4289407013104873,2.4276385705545804,2.632277411263961,4.115160896734231,2.014320806088411,3.9699376696625297,3.666793513006937,5.719220640829179,3.4168795550403095,2.763400916284012,6.452056445866993,3.2342149813499943,2.961602377924439,5.943904481834008,4.561371249887163,1.8480211831529465,5.075489027796166,1.584948382204129,1.4059673641333936,2.3248410533533397,5.517902685435045,4.322684874523716,5.785567763075156,3.31321329213548,4.813487586880129,1.8952755894706854,6.613692608957759,2.0565979388695785,3.7803039701908414,4.090860794384281,4.099334702694113,3.8165965462193157,4.322684874523716,7.253774615130367,5.985921527799488,5.267510108474139,4.724666173221814,4.334183197192611,5.49022566022062,4.837413776676366,5.969978295592285,4.292773892788026,6.701019561555303,5.383349435440701,8.991534294874606,4.230401280446806,5.230703067135717,5.152209605693513
TCGA-RC-A7SH-01,3,5.664793197930657,3.2972122460240025,2.424951897260927,2.854026916936525,2.0840344380096223,1.3785280595142566,3.204754362472182,2.931660065862462,2.3132439654730796,4.470520143433268,3.7059954822031442,6.081047981342249,2.238794435245979,2.2750213609024805,6.211974572410661,4.029471757964707,2.7949307075169614,5.080632283038502,4.388888666609911,2.03915474759908,4.647866881389682,1.7570460558528649,2.207902118263435,1.7484626091535285,4.243375413197195,5.063943006462816,5.140742422349719,4.486758393968911,4.837413776676366,1.2630595330598264,5.58611839539205,2.014320806088411,4.804229744974234,5.303367460673482,5.514479085674661,5.803243758704828,5.6893050529196945,7.718658421975934,5.425628128128537,6.541753029730337,6.563419958489418,5.078109106868822,7.40950230492526,5.557923206538492,6.292406295173294,5.37193057476196,6.840134401590546,6.144222489332378,9.059603550405294,5.171554289031252,5.737666404514964,6.257364306376527
TCGA-CC-A3MA-01,5,4.928327074021657,4.038298468858889,4.2690586666934,4.729573806041085,3.8135307699671346,2.6206261611507253,3.0373827999453016,4.097639673961528,3.531092750729681,2.582531919738358,5.636957884941512,5.555182640473528,4.059158378656522,3.9551501349981018,6.880186987924454,4.3985086539869505,4.334183197192611,5.073839422893108,3.5471802535157524,3.5668553543025645,5.353294336399692,3.4724639095653496,3.246377243646231,3.1795476877768136,4.24034437498251,4.872846990340735,6.394237514996292,3.6960250944236717,4.276455548346039,1.944882113414397,6.370722504876986,2.7991263838504286,5.488661239598927,5.928362274489352,6.019884074015712,5.79676209962606,5.918133482659032,7.635068569346597,6.241673078363812,6.571533586599858,6.0181118033279555,5.029419035840818,6.325385418593277,6.417164145496058,5.97204485058974,5.410783242828064,8.215058386837168,5.50714341223095,8.735385606040712,4.18272847322088,5.298299243623681,5.369100603657134
TCGA-DD-A3A5-11,0,0.8480084108649092,0.20163117540000605,0.097613262755309,0.22651317312731462,0.27500444854110573,0.04264397547066702,0.20163117540000605,1.3391529474152564,0.08406696650259302,1.2203239161193031,0.6040866530104423,3.304491146690098,0.250954424227243,0.8875109937935336,4.039989089698075,1.372931313237765,0.7990679518214341,3.612339197091381,2.214097544391443,0.04264397547066702,1.8237519620410563,0.056584800958700956,0.08406696650259302,0.22651317312731462,2.117710452346412,1.8678698304650487,4.051357136745401,1.682573968806901,2.344810252548844,0.097613262755309,4.257777675637018,0.3561345822114239,2.6346266199522423,3.114338078399751,3.3673848464823024,2.3419992197023114,3.092509150353776,5.116456340916336,4.0080769420175715,4.388222053558739,2.811468356741647,2.8914209186975497,3.942990990962787,3.7004556699710407,4.71812368275269,1.695964314457595,5.092085304878744,3.6724146241321867,7.858622932752382,3.0908318059265936,3.667899157881732,2.739809915089532
TCGA-RC-A7SB-01,3,3.1243390143685352,2.392315593653014,1.8480211831529465,1.974534556942991,1.8196628006810427,1.3561617756288933,1.8678698304650487,2.994609788230738,0.5655943161500262,3.6170232784252527,3.396408558087201,4.88994706867203,1.974534556942991,2.1921721814696933,5.482892772492444,2.0179353324805644,2.7333490812012022,4.707638899042103,2.488017484086323,1.7092713940587816,2.655381665213991,2.0669436878200864,1.2690226149569193,1.2265032361654702,4.137505180848863,3.035626309813242,4.517921406604442,2.6667494047457736,4.369468010524731,0.9335616876382705,5.433247312066642,1.594569079691644,3.9560857468632014,3.4789263279508034,3.592148906470563,2.8359467778507317,3.5557793279467247,5.980508384088195,4.531696483527244,4.745263355750989,4.48866933882027,4.624639034633721,4.778203916878899,4.8160917498818465,5.649600038938686,3.463366768314859,6.461744998040661,4.649019081601048,7.851653134479971,3.8757784028767563,4.703792030392546,4.262990977438097
TCGA-DD-AAVZ-01,3,3.6610821679739813,2.9671832067473294,2.2234436842169094,1.8599613953885874,2.650755190048965,1.6690337817679282,1.6229459144937792,3.1077052726558354,0.8875109937935336,3.235734600683561,3.327703254397325,4.706484795581327,2.2016357403219415,2.6275811984374338,6.179522971342148,3.4369266855509073,2.448927792276986,4.992790089818853,3.5335596234057105,1.367348167186681,2.8619592288903277,1.8757946364409923,1.7655097452861825,1.372931313237765,4.091708046059276,3.552119563921201,5.3704667794535546,2.881647470848341,4.380604716220532,0.8718343930630623,5.613247732862932,1.4488973213076244,4.906377530097903,4.6775481235097605,5.232260521741584,3.9059031123755017,4.740353642378123,7.208279189395689,5.790477363309898,5.641857676384116,5.120147049293881,3.709320216645127,4.665634194208578,4.779263884081509,5.8096277293479055,3.6368766418975995,7.601738883998443,4.571715922618624,8.777488119811775,4.147316866023738,4.2509545586995685,3.722440613576522
