gene,SubGroup-20220427-060001_log2FoldChange,SubGroup-20220427-060001_padj,SubGroup-20220430-004133_log2FoldChange,SubGroup-20220430-004133_padj,SubGroup-20220429-185614_log2FoldChange,SubGroup-20220429-185614_padj,SubGroup-20220421-205602_log2FoldChange,SubGroup-20220421-205602_padj,SubGroup-20220421-025501_log2FoldChange,SubGroup-20220421-025501_padj,SubGroup-20220429-003157_log2FoldChange,SubGroup-20220429-003157_padj,SubGroup-20220425-064702_log2FoldChange,SubGroup-20220425-064702_padj,SubGroup-20220429-130636_log2FoldChange,SubGroup-20220429-130636_padj,SubGroup-20220425-081002_log2FoldChange,SubGroup-20220425-081002_padj,SubGroup-20220419-183523_log2FoldChange,SubGroup-20220419-183523_padj,SubGroup-20220323-140755_log2FoldChange,SubGroup-20220323-140755_padj,SubGroup-20220324-071315_log2FoldChange,SubGroup-20220324-071315_padj,SubGroup-20220322-054649_log2FoldChange,SubGroup-20220322-054649_padj,SubGroup-20220425-114106_log2FoldChange,SubGroup-20220425-114106_padj,SubGroup-20220419-223032_log2FoldChange,SubGroup-20220419-223032_padj,SubGroup-20220324-221313_log2FoldChange,SubGroup-20220324-221313_padj,SubGroup-20220418-141453_log2FoldChange,SubGroup-20220418-141453_padj,SubGroup-20220423-160346_log2FoldChange,SubGroup-20220423-160346_padj,SubGroup-20220321-233956_log2FoldChange,SubGroup-20220321-233956_padj,SubGroup-20220423-200800_log2FoldChange,SubGroup-20220423-200800_padj,SubGroup-20220428-164506_log2FoldChange,SubGroup-20220428-164506_padj,SubGroup-20220419-225028_log2FoldChange,SubGroup-20220419-225028_padj,SubGroup-20220325-000524_log2FoldChange,SubGroup-20220325-000524_padj,SubGroup-20220501-032700_log2FoldChange,SubGroup-20220501-032700_padj,SubGroup-20220428-005140_log2FoldChange,SubGroup-20220428-005140_padj,SubGroup-20220415-113944_log2FoldChange,SubGroup-20220415-113944_padj,SubGroup-20220422-183229_log2FoldChange,SubGroup-20220422-183229_padj,SubGroup-20220322-212513_log2FoldChange,SubGroup-20220322-212513_padj,SubGroup-20220322-144533_log2FoldChange,SubGroup-20220322-144533_padj,SubGroup-20220415-113406_log2FoldChange,SubGroup-20220415-113406_padj,SubGroup-20220423-182806_log2FoldChange,SubGroup-20220423-182806_padj,SubGroup-20220423-120742_log2FoldChange,SubGroup-20220423-120742_padj,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue,type,SUPPORT,CONFIDENCE,LIFT,COUNT
ABCA6,1.4087628487081378,4.0704029788252803e-19,,,,,-1.1672819936714869,6.278165532332436e-13,,,2.900403386933948,1.0880499342362032e-61,,,,,,,,,1.0861636052802772,1.0120775981755068e-12,,,,,,,,,1.2845370758712424,2.770044116986673e-17,,,,,,,,,1.221834914284349,3.1168100605949683e-16,,,,,,,1.7161666360446672,4.917927614367813e-23,,,,,,,1.523211257448905,2.1065926960621924e-21,,,1.683218773307949,2.1918350592216995e-28,1.7854372138181622,2.578144021557404e-26,8.199470757043753e-13,0.6401168437156481,,,Colorectal Neoplasms,4.981766733754459e-06,0.5,0.5916097353948446,1.0
ABCA8,1.7304586230025454,1.9607620856581755e-12,,,,,-1.3555119313795343,1.4892668623150662e-09,,,3.4911090671188765,1.0448819372899808e-41,,,,,1.0291494913193122,8.115969643522753e-06,,,1.3642557262652493,2.38539510255075e-08,1.200243629823096,1.686326559674505e-07,1.0292405879404982,6.64708695487486e-06,,,,,1.34468361446603,2.6479963271062065e-08,,,1.0844144883816158,2.523793107782227e-06,,,,,2.075548631908757,1.460203731735161e-19,,,,,,,1.887037015004688,4.598445980339103e-13,,,,,,,1.6178655255314105,1.3934130748369629e-10,,,1.7587599375745042,2.7429862874964906e-13,1.9262678608661492,3.1764740431213264e-14,7.381528299198807e-06,0.6959843847172106,,,,,,,
ABCA9,,,,,,,,,,,2.371205822826947,8.908457667443923e-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.386538616198726,1.8289943358613449e-13,,,,,,,1.1205980784600835,1.7477865250760875e-09,,,1.131265605815805,3.424515679082486e-10,1.3602418895989172,3.3547852163052694e-13,0.560299040103935,0.7209226413722882,,,Colorectal Neoplasms,4.981766733754459e-06,0.5,0.5916097353948446,1.0
ABCB1,,,,,,,,,,,,,,,1.0346873267366523,7.596005304561706e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0155374466656777,1.4980385986290498e-06,,,,,,,,,1.170525585777682,5.659689839114478e-09,,,,,,,,,0.5077694723521382,0.5326460135472812,,,Colorectal Neoplasms,0.0026204093019548454,0.8525121555915721,1.0087089815808372,526.0
ABCB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0809725835056574,1.274983504207064e-12,,,,,,,,,,,,,,,0.5404862917534662,0.5404862917534662,,,Colorectal Neoplasms,4.981766733754459e-05,1.0,1.1832194707896893,10.0
ABCC2,,,,,1.3302718635937318,1.9428119885817267e-07,1.4771916428792742,1.449697191247708e-09,1.5462132519114649,4.274429250947429e-10,,,1.532053971248886,6.903289322241658e-10,1.296169550270008,3.112623550669393e-07,1.8288628499631765,4.003510873824499e-14,1.587417416490469,2.3562487574231634e-10,1.6766146425083186,3.2093615882786325e-11,1.7913513330809967,7.127914239355499e-12,,,1.6599945055972445,2.6449543747011606e-11,1.01193223023653,6.913182540469626e-05,1.4394357521622516,1.4381046622793192e-08,1.4757106822634014,6.707438740690454e-09,1.569862245306162,5.611007860061483e-10,1.8012330259138196,2.2416015416090345e-13,1.3347643528215412,9.680714372472797e-08,,,,,1.8921218638723512,2.2447204194738153e-14,1.97265589333522,1.0922741799322313e-15,,,1.4103421104478528,2.015575893533679e-08,1.4486555446896388,7.294739043510561e-09,2.0038195111454824,5.59530933981589e-17,,,,,1.5826616491481036,9.163083420168863e-11,,,0.5060006810309673,0.7816756968034169,,,Colorectal Neoplasms,0.00041348663890162005,0.8556701030927835,1.0124455265520023,83.0
ABCC6P2,,,,,,,,,1.0649236907958937,4.7561972174819256e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5324618453979468,0.5324618453979468,,,,,,,
ABCC9,1.1300815692586017,2.8859332649389697e-16,,,,,,,,,2.030973773970252,1.880897232957404e-44,,,,,,,,,,,,,,,,,,,1.0765171874839226,1.956433388223652e-14,,,,,,,,,,,,,,,,,1.3244994930204084,2.917876790671323e-19,,,,,,,1.2138467914391082,8.115205300669022e-18,,,1.2093076798062132,4.300998631560834e-18,1.085816495650074,7.462745474649758e-13,0.5382585937423344,0.6406201056247788,,,,,,,
ABCG2,,,-1.01390993268553,1.8382706627534756e-07,-1.1951263673049912,7.498386945075972e-10,,,,,,,-1.0801440244783245,3.854934537466595e-08,,,,,-1.1460743563187477,6.271973886398927e-09,,,,,,,-1.079837842192645,3.811421833376276e-08,,,,,-1.2256667470008336,3.28101381861815e-10,,,,,-1.033682018347465,1.0370096996181281e-07,,,-1.2000057385191618,5.079485865116879e-10,,,,,,,,,,,,,-1.069424881447844,8.345983848472449e-08,,,,,,,-0.5069549661787144,-0.5553066536297345,,,Colorectal Neoplasms,0.0008020644441344678,0.9583333333333334,1.1339186595067856,161.0
ABCG5,-1.434595082535271,4.359306680443312e-09,-1.2934614463862075,9.796551425008968e-08,-1.2004741701381212,6.684044703441487e-07,,,,,,,-1.261530651849106,1.5070628389589197e-07,-1.1027687690303485,4.794493627474834e-06,-1.010809368411666,3.543400262013751e-05,-1.310860362216952,6.705929781510839e-08,-1.195971815692196,2.0042826156711963e-06,-1.000928224853222,0.0001120449780024,-1.323071891258586,1.0161890782577137e-07,-1.2311314183847273,2.909351368004037e-07,-1.170987254978428,1.155561105054951e-06,,,-1.3912843043474357,1.0375558194435028e-08,-1.211890498229987,7.1066756783965e-07,-1.2429572556189543,4.377043696510781e-07,-1.3068808062381505,8.166464564855557e-08,,,-1.2100811159226876,6.414465201477485e-07,,,-1.2922528146137016,1.1085405687990105e-07,,,-1.4445901095490483,1.097653577285393e-09,-1.2226490159481918,5.254024159193191e-07,,,-1.1595644294371994,3.788151654033991e-06,-1.414054790313143,4.202786567393122e-09,-1.1694200834882749,1.7877827236087253e-06,,,-0.5004641118777843,-0.6192024442043096,,,Colorectal Neoplasms,1.9927066935017835e-05,1.0,1.1832194707896893,4.0
