iter	MultiClass
0	1.5631350651	1.515792561
2	1.476338723
33	1.44031981
4	1.404679617
5	1.37785788
6	1.349132504
7	1.323395167
8	1.297051159
9	9	1.28368822110	1.259623482111	1.23594061712	1.203513274
13	1.182855627
114	1.182349329115	1.165807887116	1.12165747617	1.108056814
18	1.094964295
19	1.080941543
220	1.06361112721	1.051612625
22	1.038789652
23	1.026883862
24	1.012572156
25	1.003499898
26	0.9928425076
27	0.9813066009
28	0.9704900215
29	0.958273088
330	0.9477621912
31	0.9364116936332	0.9269240401
33	0.9181558563
34	0.9082078612
35	0.8995365388
36	0.8912581037	37	0.8832457332
38	0.8746381399
39	0.8686430346
40	0.8606875846
41	0.8541922251
42	0.8457626375
43	0.8372139364
44	0.8306021567
45	0.823925509
46	0.8175696934
47	0.8107338311
48	0.8063823414
49	0.8004932379
50	0.7938366749
51	0.7881499947
52	0.7791804316
53	0.7726352926
54	0.7680438365
55	0.7618625109
56	0.7575295746
57	0.7523321021
58	0.7474000832
59	0.7444518306
60	0.737628062
61	0.7321358364
62	0.7257850153
63	0.7213667151
64	0.7168450473
65	0.7112152037
66	0.7071122767
67	0.7018368757
68	0.6957473027669	0.691566281
70	0.6756790294
71	0.670774745
772	0.6779577333773	0.6743339607
74	0.669987227
75	0.6524896425
76	0.6620135481
77	0.6420131427
78	0.6390528026
79	0.650159414
880	0.6432445821
81	0.6244957246882	0.6357975637883	0.6327625558
84	0.6297176097
85	0.6268549345886	0.6222363086887	0.6181883092
88	0.6133634074889	0.6096983237
90	0.6047744257
91	0.5996174476
92	0.5954368547
93	0.5912970121
94	0.587373261695	0.570195251
9696	0.5797809418
97	0.5758135694
98	0.5732945378
99	0.5680470388
100	0.5638804085
101	0.5612942553
102	0.5573250018
103	0.5533659812
104	0.5489774817
105	0.5437639115
106	0.5410684921
107	0.5372837586
108	0.5332903772
109	0.5296258743
110	0.5262959825
111	0.5225279741
112	0.5187113	0.5113	0.5144688998
114	0.5111293837
115	0.5069015418
116	0.5036304831
117	0.5001920695
118	0.4977028128
119	0.4939644808
120	0.4907969039
121	0.4873349433
122	0.484697752
123	0.4814001763
124	0.4767583675
125	0.4742126126	0.46191773127127	0.45790523128128	0.4545370512912129	0.4605019572
130	0.4576545605
131	0.4541135703
132	0.4514551746
133	0.4490186537
134	0.4464934434
135	0.4439858239
136	0.4409017064
137	0.4386687389
138	0.435841714
139	0.4328564554
140	0.4290337003141	0.4162798751
142	0.4140982829
143	0.410342599
144	0.4084760413
145	0.4067564358
146	0.4165147	0.4147	0.4025148	0.4148	0.4104149	0.4096003461
150	0.4069054332
151	0.4044612367
152	0.4152	0.3977848283
153	0.3949154	0.3964927799
155	0.155	0.3916703195
156	0.3898085346
157	0.3868282102
158	0.38515159	0.159	0.3825776384
160	0.3798002309
161	0.3775608467
162	0.37518163	0.163	0.3737416337
164	0.3721960882
165	0.370194497
166	0.3677051094
167	0.3657114114
168	0.3640996274
169	0.3627197778
170	0.3613012222
171	0.3600956417
172	0.3586435948
173	0.3552791322
174	0.3535822423
175	0.3516293601
176	0.348996465
177	0.347178	0.34178	0.345179	0.3448988666
180	0.3441688663
181	0.3416794564
